word,id,subject,property,object,question,sparql,Unnamed: 7,Unnamed: 8,Unnamed: 9
nonprofit,71,-,type,Nonprofit_organization,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },Give me all Australian nonprofit organizations.,,,
official,10,Philippines,officialLanguage,-,SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri },What are the official languages of the Philippines?,,,
  ,49,University_of_Oxford,officialSchoolColour,-,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/University_of_Oxford> <http://dbpedia.org/ontology/officialSchoolColour> ?string },What is the official color of the University of Oxford?,,,
  ,110,,officialLanguages,-,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language . } ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1,Which country has the most official languages?,,,
  ,134,Country,officialLanguage,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> , <http://dbpedia.org/ontology/officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 ),Which countries have more than two official languages?,,
  ,291,Suriname,officialLanguage,-,SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri },What is the official language of Suriname?,,,
old,160,Battlestar_Galactica_%281978_TV_series%29,numberOfEpisodes,-,ASK WHERE { <http://dbpedia.org/resource/Battlestar_Galactica_%281978_TV_series%29> dbo:numberOfEpisodes ?x . <http://dbpedia.org/resource/Battlestar_Galactica_%282004_TV_series%29> dbo:numberOfEpisodes ?y FILTER ( ?y > ?x ) },Does the new Battlestar Galactica series have more episodes than the old one?,,,
oldest,320,-,birthDate,-,SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,Who is the oldest child of Meryl Streep?,,,
  ,349,-,openingYear,-,SELECT ?loc WHERE { ?uri dbo:type dbr:Rapid_transit , dbo:openingYear ?date , dbo:location ?loc . ?loc rdf:type dbo:City } ORDER BY ASC(?date) LIMIT 1,Which city has the oldest running metro?,
past,68,-,year,2013,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/WorldHeritageSite> . { ?uri <http://dbpedia.org/property/year> '2013'^^xsd:integer . } UNION { ?uri <http://dbpedia.org/property/year> '2014'^^xsd:integer . } },Give me all world heritage sites designated within the past two years.,,,
prime,132,,residence,Prime_Minister_of_Spain,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },Where is the residence of the prime minister of Spain?,,,
pro-european,163,,ideology,Pro-Europeanism,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> , <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> },Which Greek parties are pro-European?,
real,146,Real_Madrid_C.F.,manager,-,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> <http://dbpedia.org/ontology/manager> ?uri },Who is the manager of Real Madrid?,,,
  ,334,-,team,Real_Madrid_C.F.,ASK WHERE { res:Neymar dbo:team <http://dbpedia.org/resource/Real_Madrid_C.F.> },Does Neymar play for Real Madrid?,,,
role-playing,32,-,subject,Category:Action_role-playing_video_games,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> , <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10,What are the top-10 action role-playing video games according to IGN?,,
second,165,Mountain,elevation,-,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1,What is the second highest mountain on Earth?,,
smallest,154,-,areaTotal,-,SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m , dbo:areaTotal ?area } ORDER BY ?area LIMIT 1,What is the smallest city by area in Germany?,,
spanish,345,-,country,Spain,SELECT DISTINCT ?uri WHERE { ?film rdf:type dbo:Film , dbo:country res:Spain , dbo:producer res:Benicio_del_Toro , dbo:starring ?uri . ?uri rdf:type dbo:Person },Who is starring in Spanish movies produced by Benicio del Toro?
sparkling,387,-,wineProduced,Sparkling_wine,SELECT DISTINCT ?uri WHERE { ?uri dbo:wineProduced res:Sparkling_wine , dbo:location res:France },Where in France is sparkling wine produced?,,
swedish,94,-,country,Sweden,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Holiday> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Sweden> },Give me all Swedish holidays.,,
  ,403,,birthPlace,Sweden,SELECT DISTINCT ?uri WHERE { ?uri dbo:field res:Oceanography , dbo:birthPlace res:Sweden },Give me all Swedish oceanographers.,,
swiss,42,-,country,Switzerland,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } },Give me all Swiss non-profit organizations.,,,
tall,287,Claudia_Schiffer,height,-,SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height },How tall is Claudia Schiffer?,,,
  ,363,Michael_Jordan,height,-,SELECT DISTINCT ?num WHERE { res:Michael_Jordan dbo:height ?num },How tall is Michael Jordan?,,,
  ,392,Amazon_Eve,height,-,SELECT DISTINCT ?height WHERE { res:Amazon_Eve dbo:height ?height },How tall is Amazon Eve?,,,
tallest,31,-,height,-,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> , <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1,Who is the tallest player of the Atlanta Falcons?,,
  ,306,-,height,-,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:BasketballPlayer , dbo:height ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,Who is the tallest basketball player?,,
top-10,32,,-,-,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> , <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10,What are the top-10 action role-playing video games according to IGN?,,
total,111,-,-,-,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/New_York_City_Fire_Department> <http://dbpedia.org/property/employees> ?num },What is the total amount of men and women serving in the FDNY?,,,
  ,230,European_Union,populationTotal,-,SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },how much is the total population of  european union?,,,
  ,278,North_Rhine-Westphalia,areaTotal,-,SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },how big is the total area of North Rhine- Westphalia?,,,
  ,353,Melbourne,populationTotal,-,"SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }","What is the total population of Melbourne, Florida?",,,
viking,378,-,publisher,Viking_Press,SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Book , dbo:publisher res:Viking_Press , dbo:author res:Jack_Kerouac },Which books by Kerouac were published by Viking Press?,
